time,x,y,z,vx,vy,vz
2916,182,87,30,6,7,2
2917,187,91,29,5,4,-1
2918,191,92,25,4,1,-4
2919,192,90,20,1,-2,-5
2920,190,85,14,-2,-5,-6
2921,185,77,7,-5,-8,-7
2922,177,66,-1,-8,-11,-8
2923,166,54,-10,-11,-12,-9
2924,152,41,-20,-14,-13,-10
2925,135,27,-31,-17,-14,-11
2926,115,12,-41,-20,-15,-10
2927,92,-4,-50,-23,-16,-9
2928,66,-21,-58,-26,-17,-8
2929,37,-37,-65,-29,-16,-7
2930,5,-52,-69,-32,-15,-4
2931,-28,-64,-70,-33,-12,-1
2932,-62,-73,-68,-34,-9,2
2933,-93,-79,-63,-31,-6,5
2934,-121,-82,-55,-28,-3,8
2935,-146,-82,-44,-25,0,11
2936,-168,-79,-30,-22,3,14
2937,-187,-73,-15,-19,6,15
2938,-203,-64,1,-16,9,16
2939,-216,-54,16,-13,10,15
2940,-226,-43,30,-10,11,14
2941,-233,-31,43,-7,12,13
2942,-237,-18,55,-4,13,12
2943,-238,-4,64,-1,14,9
2944,-236,11,70,2,15,6
2945,-231,27,73,5,16,3
2946,-223,42,73,8,15,0
2947,-212,56,70,11,14,-3
2948,-198,69,64,14,13,-6
2949,-181,79,55,17,10,-9
2950,-163,86,43,18,7,-12
2951,-144,90,28,19,4,-15
2952,-124,91,10,20,1,-18
2953,-103,89,-9,21,-2,-19
2954,-81,84,-27,22,-5,-18
2955,-58,76,-44,23,-8,-17
2956,-34,65,-60,24,-11,-16
2957,-9,53,-73,25,-12,-13
2958,17,40,-83,26,-13,-10
2959,42,26,-90,25,-14,-7
2960,64,11,-94,22,-15,-4
2961,83,-5,-95,19,-16,-1
2962,99,-22,-93,16,-17,2
2963,112,-38,-88,13,-16,5
2964,122,-53,-80,10,-15,8
2965,129,-67,-69,7,-14,11
2966,135,-78,-57,6,-11,12
2967,140,-86,-44,5,-8,13
2968,144,-91,-30,4,-5,14
2969,147,-93,-15,3,-2,15
2970,149,-92,1,2,1,16
2971,150,-88,16,1,4,15
2972,150,-81,28,0,7,12
2973,149,-71,37,-1,10,9
2974,147,-58,43,-2,13,6
2975,144,-42,46,-3,16,3
2976,140,-25,46,-4,17,0
2977,135,-7,45,-5,18,-1
2978,129,12,43,-6,19,-2
2979,122,30,40,-7,18,-3
2980,114,47,36,-8,17,-4
2981,105,63,31,-9,16,-5
2982,95,78,25,-10,15,-6
2983,84,90,18,-11,12,-7
2984,72,99,10,-12,9,-8
2985,57,105,1,-15,6,-9
2986,39,108,-9,-18,3,-10
2987,18,108,-20,-21,0,-11
2988,-6,105,-30,-24,-3,-10
2989,-29,99,-37,-23,-6,-7
2990,-51,90,-41,-22,-9,-4
2991,-72,78,-44,-21,-12,-3
2992,-92,63,-46,-20,-15,-2
2993,-111,45,-47,-19,-18,-1
2994,-129,26,-47,-18,-19,0
2995,-146,6,-46,-17,-20,1
2996,-162,-15,-44,-16,-21,2
2997,-177,-35,-41,-15,-20,3
2998,-191,-54,-37,-14,-19,4
2999,-204,-72,-32,-13,-18,5
3000,-216,-87,-26,-12,-15,6
3001,-225,-99,-19,-9,-12,7
3002,-231,-108,-11,-6,-9,8
3003,-234,-114,-2,-3,-6,9
3004,-234,-117,6,0,-3,8
3005,-231,-117,13,3,0,7
3006,-225,-114,17,6,3,4
3007,-216,-108,20,9,6,3
3008,-204,-99,22,12,9,2
3009,-189,-87,23,15,12,1
3010,-171,-72,23,18,15,0
3011,-150,-54,22,21,18,-1
3012,-126,-33,20,24,21,-2
3013,-99,-11,17,27,22,-3
3014,-69,12,13,30,23,-4
3015,-36,34,8,33,22,-5
3016,0,55,2,36,21,-6
3017,37,75,-5,37,20,-7
3018,71,92,-13,34,17,-8
3019,102,106,-22,31,14,-9
3020,130,117,-32,28,11,-10
3021,155,125,-39,25,8,-7
3022,177,130,-43,22,5,-4
3023,196,132,-44,19,2,-1
3024,212,131,-42,16,-1,2
3025,225,127,-39,13,-4,3
3026,235,120,-35,10,-7,4
3027,242,110,-30,7,-10,5
3028,246,97,-24,4,-13,6
3029,247,81,-17,1,-16,7
3030,245,62,-9,-2,-19,8
3031,240,40,0,-5,-22,9
3032,232,17,10,-8,-23,10
3033,221,-5,21,-11,-22,11
3034,207,-26,31,-14,-21,10
3035,190,-46,40,-17,-20,9
3036,170,-65,46,-20,-19,6
3037,149,-81,49,-21,-16,3
3038,127,-94,49,-22,-13,0
3039,104,-104,46,-23,-10,-3
3040,80,-111,40,-24,-7,-6
3041,55,-115,31,-25,-4,-9
3042,29,-116,19,-26,-1,-12
3043,2,-114,6,-27,2,-13
3044,-24,-109,-8,-26,5,-14
3045,-49,-101,-23,-25,8,-15
3046,-73,-90,-39,-24,11,-16
3047,-94,-76,-54,-21,14,-15
3048,-112,-59,-67,-18,17,-13
3049,-127,-39,-77,-15,20,-10
3050,-139,-18,-84,-12,21,-7
3051,-148,2,-88,-9,20,-4
3052,-154,21,-89,-6,19,-1
3053,-159,39,-87,-5,18,2
3054,-163,56,-82,-4,17,5
3055,-166,72,-74,-3,16,8
3056,-168,85,-63,-2,13,11
3057,-169,95,-49,-1,10,14
3058,-169,102,-32,0,7,17
3059,-168,106,-12,1,4,20
3060,-166,107,9,2,1,21
3061,-163,105,31,3,-2,22
3062,-159,100,50,4,-5,19
3063,-154,92,66,5,-8,16
3064,-148,81,79,6,-11,13
3065,-141,67,89,7,-14,10
3066,-133,50,96,8,-17,7
3067,-124,32,100,9,-18,4
3068,-114,13,101,10,-19,1
3069,-103,-5,99,11,-18,-2
3070,-91,-22,94,12,-17,-5
3071,-78,-38,86,13,-16,-8
3072,-62,-53,75,16,-15,-11
3073,-43,-67,61,19,-14,-14
3074,-23,-78,44,20,-11,-17
3075,-2,-86,24,21,-8,-20
3076,20,-91,1,22,-5,-23
3077,41,-93,-23,21,-2,-24
3078,61,-92,-46,20,1,-23
3079,80,-88,-66,19,4,-20
3080,98,-81,-83,18,7,-17
3081,115,-71,-97,17,10,-14
3082,131,-58,-108,16,13,-11
3083,146,-42,-116,15,16,-8
3084,160,-23,-121,14,19,-5
3085,173,-5,-123,13,18,-2
3086,185,12,-122,12,17,1
3087,196,28,-118,11,16,4
3088,204,43,-111,8,15,7
3089,209,57,-101,5,14,10
3090,211,70,-88,2,13,13
3091,210,82,-72,-1,12,16
3092,206,91,-53,-4,9,19
3093,199,97,-31,-7,6,22
3094,189,100,-6,-10,3,25
3095,176,100,20,-13,0,26
3096,160,97,43,-16,-3,23
3097,141,91,63,-19,-6,20
3098,119,82,80,-22,-9,17
3099,94,70,94,-25,-12,14
3100,66,55,105,-28,-15,11
3101,37,37,113,-29,-18,8
3102,7,18,118,-30,-19,5
3103,-24,0,120,-31,-18,2
3104,-54,-17,119,-30,-17,-1
3105,-81,-33,115,-27,-16,-4
3106,-105,-48,108,-24,-15,-7
3107,-126,-62,98,-21,-14,-10
3108,-144,-75,85,-18,-13,-13
3109,-159,-85,69,-15,-10,-16
3110,-171,-92,50,-12,-7,-19
3111,-180,-96,28,-9,-4,-22
3112,-186,-97,3,-6,-1,-25
3113,-189,-95,-23,-3,2,-26
3114,-189,-90,-48,0,5,-25
3115,-186,-82,-70,3,8,-22
3116,-180,-71,-89,6,11,-19
3117,-171,-57,-105,9,14,-16
3118,-159,-40,-118,12,17,-13
3119,-146,-20,-128,13,20,-10
3120,-132,-1,-135,14,19,-7
3121,-117,17,-139,15,18,-4
3122,-101,34,-140,16,17,-1
3123,-84,50,-138,17,16,2
3124,-68,65,-133,16,15,5
3125,-53,79,-125,15,14,8
3126,-39,91,-114,14,12,11
3127,-26,100,-100,13,9,14
3128,-14,106,-83,12,6,17
3129,-3,109,-63,11,3,20
3130,7,109,-40,10,0,23
3131,16,106,-14,9,-3,26
3132,24,100,13,8,-6,27
3133,33,91,37,9,-9,24
3134,43,79,58,10,-12,21
3135,54,64,76,11,-15,18
3136,64,46,91,10,-18,15
3137,73,25,103,9,-21,12
3138,81,3,112,8,-22,9
3139,88,-18,118,7,-21,6
3140,94,-38,121,6,-20,3
3141,99,-57,121,5,-19,0
3142,103,-75,118,4,-18,-3
3143,106,-92,112,3,-17,-6
3144,108,-106,103,2,-14,-9
3145,109,-117,91,1,-11,-12
3146,107,-125,76,-2,-8,-15
3147,102,-130,58,-5,-5,-18
3148,96,-132,37,-6,-2,-21
3149,89,-131,13,-7,1,-24
3150,81,-127,-14,-8,4,-27
3151,72,-120,-40,-9,7,-26
3152,62,-110,-63,-10,10,-23
3153,51,-97,-83,-11,13,-20
3154,39,-81,-100,-12,16,-17
3155,26,-62,-114,-13,19,-14
3156,12,-40,-125,-14,22,-11
3157,-1,-17,-133,-13,23,-8
3158,-13,5,-138,-12,22,-5
3159,-24,26,-140,-11,21,-2
3160,-34,46,-139,-10,20,1
3161,-43,65,-135,-9,19,4
3162,-51,83,-128,-8,18,7
3163,-58,98,-118,-7,15,10
3164,-64,110,-105,-6,12,13
3165,-69,119,-89,-5,9,16
3166,-71,125,-70,-2,6,19
3167,-70,128,-48,1,3,22
3168,-68,128,-23,2,0,25
3169,-65,125,3,3,-3,26
3170,-61,119,27,4,-6,24
3171,-56,110,48,5,-9,21
3172,-50,98,66,6,-12,18
3173,-45,83,81,5,-15,15
3174,-41,65,93,4,-18,12
3175,-38,44,102,3,-21,9
3176,-36,21,108,2,-23,6
3177,-35,-1,111,1,-22,3
3178,-35,-22,111,0,-21,0
3179,-36,-42,108,-1,-20,-3
3180,-36,-61,102,0,-19,-6
3181,-35,-79,93,1,-18,-9
3182,-33,-94,81,2,-15,-12
3183,-30,-106,66,3,-12,-15
3184,-26,-115,48,4,-9,-18
3185,-21,-121,27,5,-6,-21
3186,-15,-124,3,6,-3,-24
3187,-8,-124,-22,7,0,-25
3188,0,-121,-46,8,3,-24
3189,9,-115,-67,9,6,-21
3190,19,-106,-85,10,9,-18
3191,30,-94,-100,11,12,-15
3192,42,-79,-112,12,15,-12
3193,53,-61,-121,11,18,-9
3194,63,-40,-127,10,21,-6
3195,72,-18,-130,9,22,-3
3196,78,5,-130,6,23,0
3197,81,27,-127,3,22,3
3198,81,48,-121,0,21,6
3199,78,68,-112,-3,20,9
3200,72,85,-100,-6,17,12
3201,63,99,-85,-9,14,15
3202,51,110,-67,-12,11,18
3203,38,118,-46,-13,8,21
3204,24,123,-22,-14,5,24
3205,11,125,3,-13,2,25
3206,-1,124,27,-12,-1,24
3207,-12,120,48,-11,-4,21
3208,-22,113,66,-10,-7,18
3209,-31,103,81,-9,-10,15
3210,-39,90,93,-8,-13,12
3211,-46,74,102,-7,-16,9
3212,-52,55,108,-6,-19,6
3213,-57,35,111,-5,-20,3
3214,-61,16,111,-4,-19,0
3215,-64,-2,108,-3,-18,-3
3216,-66,-19,102,-2,-17,-6
3217,-67,-35,93,-1,-16,-9
3218,-69,-50,81,-2,-15,-12
3219,-72,-64,66,-3,-14,-15
3220,-76,-75,48,-4,-11,-18
3221,-81,-83,27,-5,-8,-21
3222,-87,-88,3,-6,-5,-24
3223,-94,-90,-22,-7,-2,-25
3224,-100,-89,-46,-6,1,-24
3225,-105,-85,-67,-5,4,-21
3226,-109,-78,-85,-4,7,-18
3227,-112,-68,-100,-3,10,-15
3228,-114,-55,-112,-2,13,-12
3229,-115,-39,-121,-1,16,-9
3230,-113,-22,-127,2,17,-6
3231,-108,-6,-130,5,16,-3
3232,-100,9,-130,8,15,0
3233,-89,23,-127,11,14,3
3234,-75,36,-121,14,13,6
3235,-60,48,-112,15,12,9
3236,-44,59,-100,16,11,12
3237,-27,69,-85,17,10,15
3238,-9,78,-67,18,9,18
3239,10,84,-46,19,6,21
3240,30,87,-22,20,3,24
3241,51,87,3,21,0,25
3242,71,84,27,20,-3,24
3243,90,78,48,19,-6,21
3244,108,69,66,18,-9,18
3245,125,57,81,17,-12,15
3246,139,42,93,14,-15,12
3247,150,24,102,11,-18,9
3248,158,7,108,8,-17,6
3249,163,-9,111,5,-16,3
3250,165,-24,111,2,-15,0
3251,164,-38,108,-1,-14,-3
3252,160,-51,102,-4,-13,-6
3253,153,-63,93,-7,-12,-9
3254,145,-74,81,-8,-11,-12
3255,136,-84,66,-9,-10,-15
3256,126,-91,48,-10,-7,-18
3257,115,-95,27,-11,-4,-21
3258,103,-96,3,-12,-1,-24
3259,90,-94,-24,-13,2,-27
3260,76,-89,-48,-14,5,-24
3261,61,-81,-69,-15,8,-21
3262,45,-70,-87,-16,11,-18
3263,28,-56,-102,-17,14,-15
3264,10,-39,-114,-18,17,-12
3265,-7,-19,-123,-17,20,-9
3266,-23,0,-129,-16,19,-6
3267,-40,18,-132,-17,18,-3
3268,-58,35,-132,-18,17,0
3269,-77,51,-129,-19,16,3
3270,-95,66,-123,-18,15,6
3271,-112,80,-114,-17,14,9
3272,-128,93,-102,-16,13,12
3273,-143,103,-87,-15,10,15
3274,-157,110,-69,-14,7,18
3275,-170,114,-48,-13,4,21
3276,-182,115,-24,-12,1,24
3277,-193,113,1,-11,-2,25
3278,-201,108,25,-8,-5,24
3279,-206,100,46,-5,-8,21
3280,-208,89,64,-2,-11,18
3281,-207,75,79,1,-14,15
3282,-203,58,91,4,-17,12
3283,-196,38,100,7,-20,9
3284,-186,15,106,10,-23,6
3285,-173,-7,109,13,-22,3
3286,-157,-28,109,16,-21,0
3287,-138,-48,106,19,-20,-3
3288,-116,-67,100,22,-19,-6
3289,-93,-83,91,23,-16,-9
3290,-69,-96,79,24,-13,-12
3291,-44,-106,64,25,-10,-15
3292,-18,-113,46,26,-7,-18
3293,9,-117,25,27,-4,-21
3294,33,-118,1,24,-1,-24
3295,54,-116,-24,21,2,-25
3296,72,-111,-48,18,5,-24
3297,87,-103,-69,15,8,-21
3298,101,-92,-87,14,11,-18
3299,114,-78,-102,13,14,-15
3300,126,-61,-114,12,17,-12
3301,137,-41,-123,11,20,-9
3302,147,-20,-129,10,21,-6
3303,156,2,-132,9,22,-3
3304,164,23,-132,8,21,0
3305,171,43,-129,7,20,3
3306,177,62,-123,6,19,6
3307,182,78,-114,5,16,9
3308,186,91,-102,4,13,12
3309,187,101,-87,1,10,15
3310,185,108,-69,-2,7,18
3311,180,112,-48,-5,4,21
3312,172,113,-24,-8,1,24
3313,161,111,3,-11,-2,27
3314,147,106,27,-14,-5,24
3315,130,98,48,-17,-8,21
3316,110,87,66,-20,-11,18
3317,87,73,81,-23,-14,15
3318,61,58,93,-26,-15,12
3319,32,42,102,-29,-16,9
3320,4,25,108,-28,-17,6
3321,-23,7,111,-27,-18,3
3322,-49,-12,111,-26,-19,0
3323,-72,-30,108,-23,-18,-3
3324,-92,-47,102,-20,-17,-6
3325,-109,-61,93,-17,-14,-9
3326,-123,-72,81,-14,-11,-12
3327,-134,-80,66,-11,-8,-15
3328,-142,-85,48,-8,-5,-18
3329,-149,-87,27,-7,-2,-21
3330,-155,-86,3,-6,1,-24
3331,-160,-82,-22,-5,4,-25
3332,-164,-75,-46,-4,7,-24
3333,-167,-67,-67,-3,8,-21
3334,-169,-58,-85,-2,9,-18
3335,-170,-48,-100,-1,10,-15
3336,-170,-37,-112,0,11,-12
3337,-169,-25,-121,1,12,-9
3338,-165,-12,-127,4,13,-6
3339,-158,2,-130,7,14,-3
3340,-148,17,-130,10,15,0
3341,-135,31,-127,13,14,3
3342,-119,44,-121,16,13,6
3343,-102,56,-112,17,12,9
3344,-84,65,-100,18,9,12
3345,-65,71,-85,19,6,15
3346,-47,74,-67,18,3,18
3347,-30,74,-46,17,0,21
3348,-14,71,-22,16,-3,24
3349,1,65,1,15,-6,23
3350,15,58,23,14,-7,22
3351,28,50,42,13,-8,19
3352,40,41,58,12,-9,16
3353,51,31,71,11,-10,13
3354,59,20,81,8,-11,10
3355,66,8,88,7,-12,7
3356,72,-5,92,6,-13,4
3357,77,-19,93,5,-14,1
3358,81,-32,91,4,-13,-2
3359,84,-44,86,3,-12,-5
3360,86,-55,78,2,-11,-8
3361,87,-65,67,1,-10,-11
3362,87,-72,53,0,-7,-14
3363,86,-76,36,-1,-4,-17
3364,84,-77,16,-2,-1,-20
3365,81,-75,-5,-3,2,-21
3366,77,-70,-27,-4,5,-22
3367,72,-62,-47,-5,8,-20
3368,66,-51,-64,-6,11,-17
3369,59,-39,-78,-7,12,-14
3370,51,-26,-89,-8,13,-11
3371,42,-12,-97,-9,14,-8
3372,32,3,-102,-10,15,-5
3373,23,19,-104,-9,16,-2
3374,15,34,-103,-8,15,1
3375,8,48,-99,-7,14,4
3376,2,61,-92,-6,13,7
3377,-3,73,-82,-5,12,10
3378,-7,84,-69,-4,11,13
3379,-10,92,-53,-3,8,16
3380,-12,97,-34,-2,5,19
3381,-13,99,-12,-1,2,22
3382,-15,98,11,-2,-1,23
3383,-18,94,31,-3,-4,20
3384,-22,87,48,-4,-7,17
3385,-25,77,62,-3,-10,14
3386,-27,64,73,-2,-13,11
3387,-28,48,81,-1,-16,8
3388,-30,31,86,-2,-17,5
3389,-33,13,88,-3,-18,2
3390,-37,-6,87,-4,-19,-1
3391,-40,-24,83,-3,-18,-4
3392,-42,-41,76,-2,-17,-7
3393,-43,-57,66,-1,-16,-10
3394,-43,-72,53,0,-15,-13
3395,-42,-86,37,1,-14,-16
3396,-40,-99,18,2,-13,-19
3397,-37,-109,-4,3,-10,-22
3398,-33,-116,-27,4,-7,-23
3399,-28,-120,-47,5,-4,-20
3400,-24,-121,-64,4,-1,-17
3401,-21,-119,-78,3,2,-14
3402,-19,-114,-89,2,5,-11
3403,-18,-106,-97,1,8,-8
3404,-18,-95,-102,0,11,-5
3405,-19,-81,-104,-1,14,-2
3406,-21,-64,-103,-2,17,1
3407,-24,-44,-99,-3,20,4
3408,-28,-23,-92,-4,21,7
3409,-31,-1,-82,-3,22,10
3410,-33,20,-69,-2,21,13
3411,-34,40,-53,-1,20,16
3412,-34,59,-34,0,19,19
3413,-31,77,-14,3,18,20
3414,-25,94,7,6,17,21
3415,-18,108,25,7,14,18
3416,-10,119,40,8,11,15
3417,-3,127,52,7,8,12
3418,3,132,61,6,5,9
3419,8,134,67,5,2,6
3420,12,133,70,4,-1,3
3421,15,129,70,3,-4,0
3422,17,122,67,2,-7,-3
3423,18,112,61,1,-10,-6
3424,18,99,52,0,-13,-9
3425,17,83,40,-1,-16,-12
3426,15,64,27,-2,-19,-13
3427,14,42,13,-1,-22,-14
3428,14,19,-2,0,-23,-15
3429,15,-3,-18,1,-22,-16
3430,17,-24,-33,2,-21,-15
3431,20,-44,-45,3,-20,-12
3432,24,-63,-54,4,-19,-9
3433,29,-81,-60,5,-18,-6
3434,35,-96,-63,6,-15,-3
3435,42,-108,-63,7,-12,0
3436,50,-117,-62,8,-9,1
3437,57,-123,-60,7,-6,2
3438,63,-126,-57,6,-3,3
3439,66,-126,-53,3,0,4
3440,66,-123,-48,0,3,5
3441,63,-117,-42,-3,6,6
3442,57,-108,-35,-6,9,7
3443,48,-96,-27,-9,12,8
3444,36,-81,-18,-12,15,9
3445,23,-63,-8,-13,18,10
3446,9,-42,2,-14,21,10
3447,-4,-18,9,-13,24,7
3448,-16,5,13,-12,23,4
3449,-27,27,16,-11,22,3
3450,-37,48,18,-10,21,2
3451,-46,68,19,-9,20,1
3452,-54,87,19,-8,19,0
3453,-61,103,18,-7,16,-1
3454,-67,116,16,-6,13,-2
3455,-72,126,13,-5,10,-3
3456,-76,133,9,-4,7,-4
3457,-81,137,4,-5,4,-5
3458,-87,138,-2,-6,1,-6
3459,-94,136,-9,-7,-2,-7
3460,-102,131,-17,-8,-5,-8
3461,-111,123,-26,-9,-8,-9
3462,-119,112,-32,-8,-11,-6
3463,-126,98,-35,-7,-14,-3
3464,-132,81,-35,-6,-17,0
3465,-137,61,-34,-5,-20,1
3466,-141,38,-32,-4,-23,2
3467,-142,14,-29,-1,-24,3
3468,-140,-11,-25,2,-25,4
3469,-135,-35,-20,5,-24,5
3470,-127,-58,-14,8,-23,6
3471,-116,-80,-7,11,-22,7
3472,-102,-99,1,14,-19,8
3473,-85,-115,10,17,-16,9
3474,-65,-128,20,20,-13,10
3475,-42,-138,29,23,-10,9
3476,-18,-145,35,24,-7,6
3477,5,-149,38,23,-4,3
3478,27,-150,38,22,-1,0
3479,48,-148,35,21,2,-3
3480,68,-143,29,20,5,-6
3481,87,-135,20,19,8,-9
3482,105,-124,10,18,11,-10
3483,120,-110,-1,15,14,-11
3484,132,-93,-13,12,17,-12
3485,141,-73,-26,9,20,-13
3486,147,-50,-40,6,23,-14
3487,150,-26,-53,3,24,-13
3488,152,-1,-63,2,25,-10
3489,153,25,-70,1,26,-7
3490,153,50,-74,0,25,-4
3491,152,74,-75,-1,24,-1
3492,150,95,-73,-2,21,2
3493,147,113,-68,-3,18,5
3494,143,128,-60,-4,15,8
3495,138,140,-49,-5,12,11
3496,132,149,-35,-6,9,14
3497,125,155,-18,-7,6,17
3498,117,158,0,-8,3,18
3499,108,158,19,-9,0,19
3500,96,155,37,-12,-3,18
3501,81,149,52,-15,-6,15
3502,63,140,64,-18,-9,12
3503,42,128,73,-21,-12,9
3504,18,113,79,-24,-15,6
3505,-7,95,82,-25,-18,3
3506,-33,74,82,-26,-21,0
3507,-58,52,79,-25,-22,-3
3508,-82,29,73,-24,-23,-6
3509,-105,5,64,-23,-24,-9
3510,-127,-20,52,-22,-25,-12
3511,-146,-46,37,-19,-26,-15
3512,-162,-69,19,-16,-23,-18
3513,-175,-89,-2,-13,-20,-21
3514,-185,-106,-24,-10,-17,-22
3515,-192,-120,-45,-7,-14,-21
3516,-196,-131,-63,-4,-11,-18
3517,-197,-139,-78,-1,-8,-15
3518,-195,-144,-90,2,-5,-12
3519,-190,-146,-99,5,-2,-9
3520,-182,-145,-105,8,1,-6
3521,-171,-141,-108,11,4,-3
3522,-157,-134,-108,14,7,0
3523,-142,-124,-105,15,10,3
3524,-126,-111,-99,16,13,6
3525,-109,-95,-90,17,16,9
3526,-91,-76,-78,18,19,12
3527,-72,-56,-63,19,20,15
3528,-52,-35,-45,20,21,18
3529,-33,-13,-24,19,22,21
3530,-15,10,-4,18,23,20
3531,2,34,15,17,24,19
3532,18,57,31,16,23,16
3533,33,77,44,15,20,13
3534,47,94,54,14,17,10
3535,60,108,61,13,14,7
3536,72,119,65,12,11,4
3537,83,127,66,11,8,1
3538,93,132,64,10,5,-2
3539,102,134,59,9,2,-5
3540,110,133,51,8,-1,-8
3541,117,129,40,7,-4,-11
3542,123,122,26,6,-7,-14
3543,128,112,13,5,-10,-13
3544,132,99,1,4,-13,-12
3545,135,85,-10,3,-14,-11
3546,137,70,-20,2,-15,-10
3547,138,54,-29,1,-16,-9
3548,136,37,-37,-2,-17,-8
3549,131,19,-44,-5,-18,-7
3550,123,0,-48,-8,-19,-4
3551,112,-20,-49,-11,-20,-1
3552,100,-41,-47,-12,-21,2
3553,87,-61,-42,-13,-20,5
3554,73,-78,-34,-14,-17,8
3555,58,-92,-25,-15,-14,9
3556,42,-103,-17,-16,-11,8
3557,25,-111,-10,-17,-8,7
3558,7,-116,-4,-18,-5,6
3559,-12,-118,1,-19,-2,5
3560,-32,-117,5,-20,1,4
3561,-51,-113,8,-19,4,3
3562,-69,-106,10,-18,7,2
3563,-84,-96,11,-15,10,1
3564,-96,-85,11,-12,11,0
3565,-105,-73,10,-9,12,-1
3566,-111,-60,8,-6,13,-2
3567,-114,-46,5,-3,14,-3
3568,-114,-31,1,0,15,-4
3569,-111,-15,-4,3,16,-5
3570,-105,2,-10,6,17,-6
3571,-96,20,-15,9,18,-5
3572,-84,39,-19,12,19,-4
3573,-71,59,-22,13,20,-3
3574,-59,78,-24,12,19,-2
3575,-48,94,-25,11,16,-1
3576,-38,107,-25,10,13,0
3577,-29,117,-24,9,10,1
3578,-21,124,-22,8,7,2
3579,-14,128,-19,7,4,3
3580,-8,129,-15,6,1,4
3581,-3,127,-10,5,-2,5
3582,1,122,-4,4,-5,6
3583,4,114,3,3,-8,7
3584,6,103,11,2,-11,8
3585,7,91,18,1,-12,7
3586,7,78,24,0,-13,6
3587,6,64,27,-1,-14,3
3588,4,49,27,-2,-15,0
3589,1,33,24,-3,-16,-3
3590,-1,16,20,-2,-17,-4
3591,-2,-2,15,-1,-18,-5
3592,-2,-21,9,0,-19,-6
3593,-1,-41,2,1,-20,-7
3594,-1,-60,-6,0,-19,-8
3595,-2,-78,-15,-1,-18,-9
3596,-2,-93,-25,0,-15,-10
3597,-1,-105,-36,1,-12,-11
3598,1,-114,-48,2,-9,-12
3599,4,-120,-59,3,-6,-11
3600,8,-123,-69,4,-3,-10
3601,13,-123,-76,5,0,-7
3602,19,-120,-80,6,3,-4
3603,24,-114,-81,5,6,-1
3604,28,-105,-79,4,9,2
3605,31,-93,-74,3,12,5
3606,33,-78,-66,2,15,8
3607,34,-62,-55,1,16,11
3608,34,-45,-41,0,17,14
3609,33,-27,-24,-1,18,17
3610,31,-8,-6,-2,19,18
3611,28,12,13,-3,20,19
3612,24,33,31,-4,21,18
3613,19,55,46,-5,22,15
3614,13,78,58,-6,23,12
3615,6,98,67,-7,20,9
3616,-2,115,73,-8,17,6
3617,-9,129,76,-7,14,3
3618,-15,140,76,-6,11,0
3619,-20,148,73,-5,8,-3
3620,-24,153,67,-4,5,-6
3621,-27,155,58,-3,2,-9
3622,-27,154,46,0,-1,-12
3623,-26,150,31,1,-4,-15
3624,-24,143,15,2,-7,-16
3625,-21,133,-2,3,-10,-17
3626,-17,120,-20,4,-13,-18
3627,-12,104,-35,5,-16,-15
3628,-8,85,-47,4,-19,-12
3629,-5,65,-56,3,-20,-9
3630,-3,44,-62,2,-21,-6
3631,-2,22,-65,1,-22,-3
3632,-2,-1,-65,0,-23,0
3633,-3,-25,-64,-1,-24,1
3634,-5,-50,-62,-2,-25,2
3635,-8,-74,-59,-3,-24,3
3636,-12,-95,-55,-4,-21,4
3637,-17,-113,-50,-5,-18,5
3638,-23,-128,-44,-6,-15,6
3639,-30,-140,-37,-7,-12,7
3640,-38,-149,-31,-8,-9,6
3641,-47,-155,-26,-9,-6,5
3642,-55,-158,-20,-8,-3,6
3643,-62,-158,-13,-7,0,7
3644,-68,-155,-5,-6,3,8
3645,-73,-149,4,-5,6,9
3646,-75,-140,12,-2,9,8
3647,-74,-128,19,1,12,7
3648,-70,-113,25,4,15,6
3649,-63,-95,30,7,18,5
3650,-53,-74,34,10,21,4
3651,-40,-52,35,13,22,1
3652,-26,-29,33,14,23,-2
3653,-11,-5,30,15,24,-3
3654,3,20,26,14,25,-4
3655,16,46,21,13,26,-5
3656,28,71,15,12,25,-6
3657,39,93,8,11,22,-7
3658,49,112,0,10,19,-8
3659,58,128,-9,9,16,-9
3660,66,141,-17,8,13,-8
3661,73,151,-24,7,10,-7
3662,79,158,-30,6,7,-6
3663,84,162,-35,5,4,-5
3664,88,163,-37,4,1,-2
3665,91,161,-36,3,-2,1
3666,93,156,-32,2,-5,4
3667,94,148,-27,1,-8,5
3668,94,137,-21,0,-11,6
3669,93,123,-14,-1,-14,7
3670,91,106,-8,-2,-17,6
3671,88,86,-3,-3,-20,5
3672,84,65,1,-4,-21,4
3673,79,43,4,-5,-22,3
3674,73,20,6,-6,-23,2
3675,66,-4,7,-7,-24,1
3676,58,-29,7,-8,-25,0
3677,49,-53,6,-9,-24,-1
3678,39,-74,4,-10,-21,-2
3679,28,-92,1,-11,-18,-3
3680,16,-107,-3,-12,-15,-4
3681,5,-119,-8,-11,-12,-5
3682,-7,-128,-12,-12,-9,-4
3683,-20,-134,-15,-13,-6,-3
3684,-34,-137,-17,-14,-3,-2
3685,-49,-137,-18,-15,0,-1
3686,-65,-134,-18,-16,3,0
3687,-82,-128,-17,-17,6,1
3688,-98,-119,-15,-16,9,2
3689,-113,-107,-12,-15,12,3
3690,-127,-92,-8,-14,15,4
