y=624, x=455..478
x=547, y=625..632
y=317, x=388..394
x=471, y=241..253
x=425, y=1223..1233
x=464, y=1592..1605
x=320, y=1757..1760
x=554, y=1008..1021
x=491, y=789..802
y=940, x=387..389
y=112, x=392..409
x=479, y=1415..1424
x=406, y=116..124
y=192, x=467..484
y=1142, x=562..564
y=795, x=369..396
x=448, y=1376..1378
x=398, y=402..410
x=528, y=1035..1038
x=505, y=993..1016
x=398, y=485..489
x=565, y=1282..1293
y=815, x=332..340
x=401, y=1599..1601
y=691, x=558..570
x=407, y=580..582
x=566, y=1604..1628
x=399, y=1599..1601
x=395, y=35..47
y=405, x=574..583
x=337, y=51..60
x=479, y=692..702
x=323, y=1277..1289
y=50, x=523..537
x=362, y=635..654
x=439, y=880..883
x=509, y=922..949
y=1179, x=517..538
x=324, y=1789..1798
y=1599, x=399..401
y=642, x=575..584
y=42, x=400..405
x=488, y=330..335
y=1458, x=552..560
x=401, y=100..108
x=373, y=1337..1350
x=577, y=149..157
x=560, y=1528..1544
x=391, y=838..866
y=201, x=437..456
y=552, x=368..385
y=865, x=406..516
x=395, y=1368..1393
x=422, y=664..669
y=1599, x=510..513
y=1318, x=462..482
x=463, y=287..297
x=402, y=1284..1293
x=468, y=24..29
y=1136, x=328..344
x=409, y=1687..1697
x=470, y=507..520
y=743, x=440..462
y=1541, x=354..380
x=541, y=510..514
y=883, x=577..580
y=1233, x=420..425
x=374, y=440..459
y=644, x=406..424
x=518, y=1502..1521
x=380, y=1519..1541
x=437, y=536..546
y=453, x=548..575
x=573, y=1073..1086
x=494, y=1605..1617
x=548, y=436..453
y=153, x=441..451
x=475, y=1197..1206
y=1599, x=369..373
x=492, y=1633..1654
x=371, y=1034..1060
x=447, y=715..725
y=1475, x=327..340
x=470, y=1522..1536
x=448, y=392..404
y=317, x=485..503
x=460, y=555..561
x=447, y=52..54
x=499, y=629..656
x=421, y=54..81
x=567, y=1121..1123
x=549, y=75..80
x=523, y=1161..1165
x=539, y=1028..1042
y=1344, x=347..351
x=492, y=550..559
y=1188, x=329..332
y=1702, x=509..525
y=335, x=482..488
x=361, y=1242..1247
x=577, y=1391..1414
x=470, y=1155..1169
y=1663, x=362..365
x=381, y=1766..1770
y=1127, x=478..579
x=483, y=1047..1049
x=495, y=214..217
x=581, y=424..442
y=358, x=473..475
x=466, y=483..493
x=502, y=233..242
x=437, y=1163..1186
x=465, y=261..272
x=332, y=468..478
x=505, y=831..837
x=579, y=1764..1782
x=557, y=1723..1743
x=545, y=1606..1615
y=1248, x=556..578
x=341, y=1015..1017
x=390, y=1221..1226
x=384, y=1437..1456
y=520, x=443..450
y=526, x=565..569
y=736, x=406..428
x=391, y=1668..1672
y=1343, x=504..517
x=488, y=1417..1427
x=349, y=480..504
y=145, x=465..470
x=467, y=181..192
y=947, x=375..399
x=480, y=1515..1517
y=1782, x=502..521
y=226, x=468..471
x=518, y=421..423
x=380, y=1641..1655
y=1676, x=466..471
x=552, y=1484..1489
x=341, y=1340..1367
x=358, y=397..403
y=1390, x=314..340
x=323, y=97..113
x=569, y=1300..1320
x=412, y=1591..1605
x=564, y=1142..1145
y=858, x=437..478
x=360, y=1438..1456
y=365, x=545..568
x=513, y=108..135
x=332, y=799..815
x=487, y=1462..1474
x=513, y=342..367
y=316, x=524..549
x=579, y=315..342
y=647, x=467..491
x=513, y=391..393
x=435, y=172..176
x=552, y=1454..1458
x=346, y=450..477
y=105, x=481..502
x=403, y=1547..1558
x=330, y=1792..1801
y=108, x=329..339
x=404, y=1299..1325
x=488, y=99..101
y=1081, x=511..516
y=150, x=455..477
y=1533, x=439..461
x=469, y=1346..1357
x=331, y=127..141
x=470, y=1394..1407
x=322, y=407..416
x=420, y=1266..1275
x=471, y=727..749
y=297, x=463..485
x=345, y=24..37
x=383, y=250..271
x=342, y=231..253
x=393, y=87..90
y=80, x=496..498
y=1615, x=535..545
y=546, x=430..437
x=566, y=1593..1596
y=356, x=528..530
x=505, y=233..242
x=336, y=1310..1325
x=400, y=1778..1789
y=934, x=524..526
x=479, y=1073..1090
x=426, y=999..1019
x=547, y=1720..1722
x=420, y=1224..1233
x=555, y=842..859
y=1558, x=403..428
x=522, y=485..499
x=465, y=880..883
y=1186, x=459..503
y=483, x=496..518
x=421, y=294..312
x=516, y=855..865
y=1440, x=549..551
y=1078, x=387..408
x=488, y=1134..1147
y=157, x=570..577
x=356, y=147..150
x=465, y=1325..1335
x=322, y=1789..1798
x=510, y=455..461
x=462, y=733..743
x=565, y=524..526
x=472, y=437..449
x=459, y=1369..1382
x=567, y=402..422
x=337, y=1590..1594
y=1126, x=466..475
x=427, y=1429..1432
x=388, y=622..648
x=569, y=1723..1743
x=540, y=401..422
x=471, y=555..561
x=327, y=149..166
y=1536, x=417..470
x=337, y=1394..1413
x=564, y=1462..1466
y=1798, x=322..324
x=360, y=1419..1422
x=548, y=1326..1351
x=420, y=1175..1178
y=1050, x=433..454
x=342, y=524..547
x=344, y=1015..1017
y=1722, x=542..547
y=382, x=439..455
y=340, x=475..494
x=579, y=1462..1466
x=393, y=168..175
x=510, y=1384..1400
x=513, y=1766..1775
x=406, y=271..288
x=482, y=1306..1318
y=711, x=549..552
x=535, y=1605..1615
y=1274, x=461..465
x=467, y=1686..1697
y=1601, x=399..401
y=488, x=380..383
x=484, y=180..192
x=354, y=1518..1541
y=616, x=521..523
x=472, y=306..317
x=407, y=1006..1012
x=580, y=857..883
y=255, x=415..417
x=520, y=255..268
x=538, y=152..175
y=1474, x=446..487
x=505, y=165..182
x=470, y=142..145
x=314, y=1132..1135
x=542, y=256..268
y=468, x=405..419
x=343, y=1728..1738
y=929, x=558..560
y=111, x=556..580
x=462, y=1239..1250
x=417, y=1522..1536
x=396, y=1187..1191
x=586, y=203..217
y=1018, x=540..543
x=397, y=1614..1625
x=354, y=920..926
x=465, y=1263..1274
y=581, x=483..507
y=1517, x=480..485
x=465, y=1048..1049
x=345, y=1241..1247
y=619, x=461..465
x=396, y=787..795
x=459, y=967..993
x=418, y=1328..1347
y=255, x=400..406
x=438, y=1368..1382
x=387, y=935..940
x=474, y=1468..1471
x=327, y=1072..1075
x=424, y=1624..1627
x=584, y=1765..1782
x=400, y=301..328
x=484, y=552..556
x=482, y=1782..1784
x=366, y=997..1001
x=537, y=48..50
y=40, x=383..385
y=163, x=392..418
x=467, y=1194..1202
x=525, y=625..634
y=42, x=513..522
x=506, y=401..424
y=1169, x=452..470
x=437, y=966..993
x=557, y=728..742
y=141, x=326..331
x=403, y=1120..1146
y=328, x=400..405
x=520, y=769..788
x=399, y=927..947
y=1605, x=390..412
x=556, y=1097..1103
x=491, y=1093..1103
y=312, x=421..432
x=506, y=1726..1736
x=362, y=1122..1132
x=549, y=1635..1650
y=438, x=396..409
x=574, y=1005..1017
y=582, x=429..431
x=470, y=1418..1427
x=499, y=1072..1084
x=556, y=103..111
x=378, y=116..124
y=510, x=330..340
x=424, y=619..644
x=339, y=596..614
x=439, y=1529..1533
y=1619, x=432..445
y=587, x=464..467
y=353, x=369..391
x=492, y=32..44
y=1366, x=362..389
x=515, y=1766..1775
x=408, y=484..489
x=494, y=832..837
y=101, x=488..494
y=1775, x=513..515
x=445, y=374..378
x=384, y=579..582
x=578, y=480..488
x=415, y=587..604
x=506, y=73..85
y=656, x=408..425
y=1146, x=578..586
x=415, y=74..77
x=485, y=157..171
y=582, x=384..407
x=549, y=304..316
y=837, x=494..505
x=537, y=448..467
x=412, y=1041..1050
x=465, y=776..789
x=449, y=1393..1407
x=590, y=166..188
x=486, y=1217..1236
x=333, y=532..534
x=444, y=1391..1412
x=457, y=1468..1471
y=651, x=560..565
x=421, y=4..10
y=741, x=587..590
x=315, y=671..698
y=1540, x=400..405
x=505, y=1161..1165
x=468, y=216..226
x=427, y=391..404
y=135, x=513..517
x=469, y=158..171
x=460, y=297..303
y=1654, x=492..510
y=559, x=477..492
x=511, y=1217..1236
x=478, y=308..322
x=416, y=16..41
x=388, y=1616..1630
x=476, y=1327..1338
y=1533, x=530..537
x=519, y=1744..1758
x=366, y=226..237
y=504, x=349..371
x=394, y=313..317
x=578, y=1141..1146
x=583, y=518..530
x=532, y=941..952
x=481, y=1570..1583
y=1552, x=475..478
y=1422, x=348..360
y=404, x=427..448
x=457, y=1438..1452
y=1228, x=446..451
x=502, y=341..367
x=476, y=935..938
x=326, y=126..141
x=510, y=1121..1123
x=405, y=302..328
x=481, y=117..119
x=327, y=1457..1475
x=428, y=1546..1558
y=1381, x=369..381
y=721, x=433..440
y=242, x=502..505
y=133, x=360..365
x=384, y=563..565
x=439, y=1076..1088
x=461, y=619..621
x=524, y=1228..1239
y=1489, x=536..552
x=350, y=1775..1798
x=533, y=964..975
y=1436, x=392..403
x=322, y=301..317
x=379, y=1087..1109
x=571, y=1030..1043
x=323, y=1668..1676
x=512, y=51..64
y=802, x=489..491
x=536, y=493..495
x=392, y=587..604
x=494, y=1702..1715
x=461, y=1263..1274
x=509, y=830..844
x=470, y=964..979
y=1084, x=499..522
x=587, y=715..741
x=346, y=1726..1736
x=413, y=35..47
x=573, y=1528..1544
y=938, x=476..494
x=525, y=1330..1347
x=565, y=649..651
x=406, y=732..736
x=461, y=1398..1403
